0.5 No. of Outliers: 108, Clusters : 0, Silhoutte -2
1.974 No. of Outliers: 3, Clusters : 5, Silhoutte 0.19900000095367432
1.975 No. of Outliers: 3, Clusters : 4, Silhoutte 0.07699999958276749
1.976 No. of Outliers: 3, Clusters : 4, Silhoutte 0.07699999958276749
1.977 No. of Outliers: 3, Clusters : 4, Silhoutte 0.07699999958276749
1.978 No. of Outliers: 3, Clusters : 4, Silhoutte 0.07699999958276749
1.979 No. of Outliers: 3, Clusters : 4, Silhoutte 0.07699999958276749
1.98 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.981 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.982 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.983 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.984 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.985 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.986 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.987 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.988 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.989 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.99 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.991 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.992 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.993 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.994 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.995 No. of Outliers: 3, Clusters : 3, Silhoutte 0.09790000319480896
1.996 No. of Outliers: 2, Clusters : 3, Silhoutte 0.10180000215768814
1.997 No. of Outliers: 2, Clusters : 3, Silhoutte 0.10180000215768814
1.998 No. of Outliers: 2, Clusters : 3, Silhoutte 0.10180000215768814
1.999 No. of Outliers: 2, Clusters : 3, Silhoutte 0.10180000215768814
